,subject_id,age,hair_type,hair_color,eye_color,monk_scale,fitz_type
0,0,young adult,wavy,brunette,amber,scale 5,type iii
1,0,young adult,wavy,brunette,amber,scale 5,type iii
2,0,young adult,wavy,brunette,amber,scale 5,type iii
3,0,young adult,wavy,brunette,amber,scale 5,type iii
4,0,young adult,wavy,brunette,amber,scale 5,type iii
5,0,young adult,wavy,brunette,amber,scale 5,type iii
6,1,young adult,straight,brunette,black,scale 5,type iii
7,1,young adult,straight,brunette,black,scale 5,type iii
8,1,young adult,straight,brunette,black,scale 5,type iii
9,1,young adult,straight,brunette,black,scale 5,type iii
10,1,young adult,straight,brunette,black,scale 5,type iii
11,1,young adult,straight,brunette,black,scale 5,type iii
12,2,adult,curly,brunette,green,scale 4,type iii
13,2,adult,curly,brunette,green,scale 4,type iii
14,2,adult,curly,brunette,green,scale 4,type iii
15,2,adult,curly,brunette,green,scale 4,type iii
16,2,adult,curly,brunette,green,scale 4,type iii
17,2,adult,curly,brunette,green,scale 4,type iii
18,3,adult,coily,black,brown,scale 5,type iv
19,3,adult,coily,black,brown,scale 5,type iv
20,3,adult,coily,black,brown,scale 5,type iv
21,3,adult,coily,black,brown,scale 5,type iv
22,4,adult,wavy,brunette,brown,scale 5,type iv
23,4,adult,wavy,brunette,brown,scale 5,type iv
24,4,adult,wavy,brunette,brown,scale 5,type iv
25,4,adult,wavy,brunette,brown,scale 5,type iv
26,4,adult,wavy,brunette,brown,scale 5,type iv
27,4,adult,wavy,brunette,brown,scale 5,type iv
28,5,young adult,coily,black,black,scale 6,type v
29,5,young adult,coily,black,black,scale 6,type v
30,5,young adult,coily,black,black,scale 6,type v
31,5,young adult,coily,black,black,scale 6,type v
32,5,young adult,coily,black,black,scale 6,type v
33,5,young adult,coily,black,black,scale 6,type v
34,6,adult,wavy,brunette,brown,scale 4,type iv
35,6,adult,wavy,brunette,brown,scale 4,type iv
36,6,adult,wavy,brunette,brown,scale 4,type iv
37,6,adult,wavy,brunette,brown,scale 4,type iv
38,6,adult,wavy,brunette,brown,scale 4,type iv
39,6,adult,wavy,brunette,brown,scale 4,type iv
40,7,adult,straight,brunette,brown,scale 3,type iii
41,7,adult,straight,brunette,brown,scale 3,type iii
42,7,adult,straight,brunette,brown,scale 3,type iii
43,7,adult,straight,brunette,brown,scale 3,type iii
44,7,adult,straight,brunette,brown,scale 3,type iii
45,7,adult,straight,brunette,brown,scale 3,type iii
46,8,adult,straight,brunette,brown,scale 2,type ii
47,8,adult,straight,brunette,brown,scale 2,type ii
48,8,adult,straight,brunette,brown,scale 2,type ii
49,8,adult,straight,brunette,brown,scale 2,type ii
50,8,adult,straight,brunette,brown,scale 2,type ii
51,9,adult,wavy,black,brown,scale 6,type v
52,9,adult,wavy,black,brown,scale 6,type v
53,9,adult,wavy,black,brown,scale 6,type v
54,9,adult,wavy,black,brown,scale 6,type v
55,9,adult,wavy,black,brown,scale 6,type v
